hospital,solicitacoes,aprovacoes,uti,enfermaria,tempo_medio,mediana,pct_atendidas
(sem nome),503512,267068,74044,193024,16 d,1 d,53
Santa Casa De Rondonopolis,38946,33838,5849,27989,5 d,1 d,87
Hospital Santa Helena,27509,26109,1184,24925,7 d,1 d,95
Hospital Municipal De Cuiaba E P S Dr Leony Palma Carvalho,24922,23995,650,23345,1 d,< 1 d,96
Hospital Estadual Santa Casa,21100,17447,297,17150,37 d,1 d,83
Hospital E Pronto Socorro Municipal De Varzea Grande,17879,17332,1121,16211,< 1 d,< 1 d,97
Hospital Geral E Maternidade De Cuiaba,15151,13722,908,12814,4 d,1 d,91
Hospital Municipal Arlete Daisy Cichetti De Brito,13730,13226,20,13206,< 1 d,< 1 d,96
Hospital Regional Hilda Strenger Ribeiro Nova Mutum,13482,11550,935,10615,7 d,1 d,86
Hospital Universitario Julio Muller Ebserh,12932,8665,1510,7155,35 d,1 d,67
Hosp De Ref Saude Da Familia Dr Antonio Dos S Muniz,12577,11265,4,11261,< 1 d,< 1 d,90
Hospital Regional De Agua Boa,11856,9479,415,9064,9 d,1 d,80
Hospital Vale Do Guapore,11822,9597,54,9543,4 d,1 d,81
Hospital Municipal De Juina Dr Hideo Sakuno,11782,8522,29,8493,2 d,2 d,72
Hospital De Cancer De Mato Grosso,11629,10118,386,9732,12 d,1 d,87
Hospital Regional De Alta Floresta Albert Sabin,10849,9628,55,9573,2 d,1 d,89
Hospital Das Clinicas Primavera Primavera Do Leste,9961,8996,953,8043,11 d,1 d,90
Hospital Sao Lucas Lucas Do Rio Verde,9530,8617,89,8528,9 d,1 d,90
Hospital Regional Dr Antonio Fontes,9069,6169,418,5751,8 d,1 d,68
Hospital Reg Irma Elza Giovanella,8825,7953,1525,6428,4 d,1 d,90
Hospital Municipal Milton Pessoa Morbeck,8662,4732,218,4514,27 d,2 d,55
Hospital E Maternidade Sao Lucas Primavera Do Leste,8047,7398,32,7366,5 d,1 d,92
Hospital Regional De Peixoto De Azevedo,7998,6933,16,6917,2 d,1 d,87
Hospital Regional Dr Antonio Fontes Anexo I,7938,6916,314,6602,5 d,1 d,87
Hospital E Pronto Socorro Municipal De Cuiaba,6913,5521,476,5045,92 d,14 d,80
Hospital Geral De Pocone Dr Nicolau Fontanilas Frageli,5449,4835,2,4833,7 d,2 d,89
Hospital Santo Antonio,5199,4621,45,4576,2 d,2 d,89
Hospital Municipal Sao Joao Batista,5186,4277,10,4267,8 d,2 d,82
Hospital Quality,4897,4359,0,4359,9 d,5 d,89
Hospital Municipal Prefeito Joao Abreu Luz,4621,4513,0,4513,1 d,1 d,98
Hospital Regional De Colider,4525,1257,115,1142,7 d,1 d,28
Casa De Saude Paulo De Tarso E Caps Paulo De Tarso,3697,1941,6,1935,6 d,3 d,53
Metropolitano Hospital Estadual Lousite Ferreira Da Silva,2981,2335,420,1915,5 d,1 d,78
Hospital Municipal Nossa Senhora Do Rosario,2892,2625,39,2586,< 1 d,1 d,91
Hospital Evangelico De Mato Grosso,2788,2565,0,2565,< 1 d,1 d,92
Hospital E Maternidade Santa Angela Tangara Da Serra,2619,2428,106,2322,1 d,1 d,93
Hospital Municipal De Matupa,2182,2087,7,2080,3 d,1 d,96
Hospital Municipal Dr Daercio Oliveira Moraes,1986,1767,0,1767,8 d,6 d,89
